Run Type,AMR Levels,Cores,Measure Index,Memory Used (KB)
pipe_contour_memory,4,64,86,9253096
pipe_contour_memory,4,64,87,9258376
pipe_contour_memory,4,64,88,9259616
pipe_contour_memory,4,64,89,9258116
pipe_contour_memory,4,64,90,9259776
pipe_contour_memory,4,64,91,9263576
pipe_contour_memory,4,64,92,9267896
pipe_contour_memory,4,64,93,9269004
pipe_contour_memory,4,64,94,9271496
pipe_contour_memory,4,64,95,9272344
pipe_contour_memory,4,64,96,9273560
pipe_contour_memory,4,64,97,9272860
pipe_contour_memory,4,64,98,9273368
pipe_contour_memory,4,64,99,9276252
pipe_contour_memory,4,64,100,9275620
pipe_contour_memory,4,128,0,5693436
pipe_contour_memory,4,128,1,5749892
pipe_contour_memory,4,128,2,5772804
pipe_contour_memory,4,128,3,5790892
pipe_contour_memory,4,128,4,5801372
pipe_contour_memory,4,128,5,5807984
pipe_contour_memory,4,128,6,5812076
pipe_contour_memory,4,128,7,5814096
pipe_contour_memory,4,128,8,5816532
pipe_contour_memory,4,128,9,5817080
pipe_contour_memory,4,128,10,5817032
pipe_contour_memory,4,128,11,5818484
pipe_contour_memory,4,128,12,5819056
pipe_contour_memory,4,128,13,5818964
pipe_contour_memory,4,128,14,5820264
pipe_contour_memory,4,128,15,5819552
pipe_contour_memory,4,128,16,5819812
pipe_contour_memory,4,128,17,5822044
pipe_contour_memory,4,128,18,5823596
pipe_contour_memory,4,128,19,5824092
pipe_contour_memory,4,128,20,5825096
pipe_contour_memory,4,128,21,5825392
pipe_contour_memory,4,128,22,5827144
pipe_contour_memory,4,128,23,5827052
pipe_contour_memory,4,128,24,5827812
pipe_contour_memory,4,128,25,5827984
pipe_contour_memory,4,128,26,5829920
pipe_contour_memory,4,128,27,5831176
pipe_contour_memory,4,128,28,5831420
pipe_contour_memory,4,128,29,5833172
pipe_contour_memory,4,128,30,5831808
pipe_contour_memory,4,128,31,5832196
pipe_contour_memory,4,128,32,5846472
pipe_contour_memory,4,128,33,5850068
pipe_contour_memory,4,128,34,5852548
pipe_contour_memory,4,128,35,5852068
pipe_contour_memory,4,128,36,5853800
pipe_contour_memory,4,128,37,5855128
